view_id,from,vias,to,maneuver_type,maneuver_modifier,first_lane_from_right,lanes,entry,entry_out,all_number,lat,lon,cases,city_code
6211094294_1149139918_9931664736_1951506322_6366538942,6211094294,"1149139918,9931664736,1951506322",6366538942,continue,uturn,0,4,3,2,749,1.285791,103.853531,"A-6VLLC6PWWJNX,A-6VLNIRJGWH2A,A-6VL36SPGWFN5,A-6VMLUUEWWGOV,A-6VKVEFRWWGIN",SIN
4712126874_1845246358_1845246353,4712126874,1845246358,1845246353,continue,uturn,0,1,3,2,731,1.278841,103.817075,"A-6VNX3JNWWETN,A-6VL3SJWWWF44,A-6VMWD6MGWJUI,A-6VLKTJGGWJDN,A-6VM3XANGWIAI",SIN
7085479448_247183787_246294754_247183786_472735519_7085479447,7085479448,"247183787,246294754,247183786,472735519",7085479447,continue,uturn,0,3,3,1,723,1.27072,103.811275,"A-6VLB4NBG2HIQ,A-6VLB8GEGWHRG,A-6VMJ94VGWH6W,A-6VMN87OGWE28,A-6VKDQVXGWIAI",SIN
1210125082_5187342441_5187342438,1210125082,5187342441,5187342438,continue,uturn,0,2,3,2,696,1.327514,103.776385,"A-6VKUO3GWWFGS,A-6VKPCN7WWETN,A-6VLCA94WWFHJ,A-6VK92FFWWG5M,A-6VKOJI4WWE69",SIN
6063702919_230866352_6265491772,6063702919,230866352,6265491772,continue,uturn,0,2,3,2,682,1.322206,103.90538,"A-6VLQ99KGWJWN,A-6VNESUQWWIWG,A-6VMTAA7WWGW5,A-6VLI8CGWWGW5,A-6VL9UXSWWFKA",SIN
8099829556_9807872685_9807872684,8099829556,9807872685,9807872684,continue,uturn,0,0,3,2,644,1.313225,103.8463,"A-6VLKXJKGWJMM,A-6VLHAKDGWIUJ,A-6VLLT5XWWG9K,A-6VK87MIGWIXJ,A-6VKR399GWHIG",SIN
8026872950_1541260423_1541260884_1541260417,8026872950,"1541260423,1541260884",1541260417,continue,uturn,0,1,3,2,641,1.325773,103.84921,"A-6VNDDMTWWEJU,A-6VLA5KXWWGBX,A-6VLKMCPWWETN,A-6VN3JS6GWJA2,A-6VMRS3QWWGIN",SIN
6992282300_5165895535_5165895534,6992282300,5165895535,5165895534,continue,uturn,0,1,3,2,617,1.28472,103.843649,"A-6VNBJX9WWJA2,A-6VLMGTOGWFHJ,A-6VLWQGDGWHIQ,A-6VKSNSWGWH6E,A-6VN6NJLWWFGS",SIN
377548926_236320583_236320394,377548926,236320583,236320394,continue,uturn,0,2,3,2,608,1.314379,103.860135,"A-6VMLVRXGWJDN,A-6VNA9KMGWEJU,A-6VO7TR6WWEHN,A-6VLR23PGWH6E,A-6VK9P7FW2E69",SIN
6184997490_237170538_237219117,6184997490,237170538,237219117,continue,uturn,0,3,4,2,593,1.284892,103.844041,"A-6VMGI6EWWEVJ,A-6VM3MF7WWFP5,A-6VLJPJXWWFF9,A-6VL6O5KGWGOV,A-6VKSOT9WWE69",SIN
229414667_4913961991_5135672323,229414667,4913961991,5135672323,continue,uturn,0,1,4,2,561,1.347427,103.880359,"A-6VKOOHGGWJMM,A-6VKBEF2GWG5M,A-6VLSPJUGWEVJ,A-6VL4AEFGWJDN,A-6VLBQ7LGWJUI",SIN
8236152177_1809047470_1839151897_1839151896_203231246_8236152178,8236152177,"1809047470,1839151897,1839151896,203231246",8236152178,continue,uturn,0,2,4,1,558,1.37203,103.947298,"A-6VKVSG5GWEP2,A-6VLT4H9GWGAQ,A-6VO8TODGWGK2,A-6VKJ94NWWH6E,A-6VLFXVJWWJUI",SIN
6748992715_1792732352_1792732360,6748992715,1792732352,1792732360,continue,uturn,0,1,3,2,533,1.290458,103.801535,"A-6VLGN3XGWIAI,A-6VMNIJSWWIWG,A-6VK9DCMGWE28,A-6VO7UFWWWHS5,A-6VOWTTOWWJ73",SIN
237170655_1852241862_4739815317,237170655,1852241862,4739815317,continue,uturn,0,1,3,2,513,1.282558,103.842103,"A-6VKOBPNWWEP2,A-6VLBEODGWJUI,A-6VLQNQHGWFL6,A-6VKMTAGWWFF9,A-6VMABGVWWF6A",SIN
1667356204_595693464_1667356217,1667356204,595693464,1667356217,continue,uturn,0,0,3,2,510,1.31062,103.826748,"A-6VGFO8SGWH4G,A-6VLWF2GGWFF9,A-6VKOHLCGWFKA,A-6VM3O4SGWG5C,A-6VLEMLBGWF4B",SIN
4855366016_8436293135_8436293134,4855366016,8436293135,8436293134,continue,uturn,0,0,3,2,481,1.338664,103.819737,"A-6VO2XPGGWGWC,A-6VO6LNWWWHKL,A-6VL835DGWG7G,A-6VMMXKOWWFN5,A-6VKP598GWETN",SIN
2125048931_6802758888_6802758886,2125048931,6802758888,6802758886,continue,uturn,0,1,3,2,474,1.315771,103.841195,"A-6VLRJE8WWIUJ,A-6VM7FFIWWF44,A-6VMXEOUGWFRG,A-6VKLV69GWEP2,A-6VLQHHMWWIJ3",SIN
6771442981_1530950963_1530950955_10689739907,6771442981,"1530950963,1530950955",10689739907,continue,uturn,0,1,3,2,472,1.356148,103.880652,"A-6VLQMXBWWGIN,A-6VMWEP4GWIAI,A-6VMEAH2WWIJ3,A-6VMHMEVGWF4B,A-6VKDEOVGWE28",SIN
7085579045_1944141214_1944141238,7085579045,1944141214,1944141238,continue,uturn,0,1,3,2,463,1.271735,103.806597,"A-6VKHIWPGWE69,A-6VLMDIGWWJGJ,A-6VKCI9WGWGOV,A-6VKA5IVWWFF9,A-6VM6SVAGWJUI",SIN
7882579814_74368117_246499997_7882579815,7882579814,"74368117,246499997",7882579815,continue,uturn,0,2,4,2,459,1.30386,103.830847,"A-6VKLV82G4GW5,A-6VMKX2NWWJ2I,A-6VMBJLIGWF4B,A-6VLOSJXGWFGS,A-6VOA4W4GWJL6",SIN
1202447082_6641428934_6158672790,1202447082,6641428934,6158672790,continue,uturn,0,1,3,2,458,1.263613,103.823918,"A-6VLB234GWJWN,A-6VLCE7GWWF4B,A-6VLOQ9KWWHIQ,A-6VN2XLRWWIJ3,A-6VM6SEIWWIXJ",SIN
4604050833_6510244304_6510244302,4604050833,6510244304,6510244302,continue,uturn,0,2,3,2,457,1.304083,103.865788,"A-6VNE2SJWWEJ7,A-6VLRBVOGWIJ3,A-6VMGDBOGWJA2,A-6VMDWIGGWFN5,A-6VLSOCGGWIWG",SIN
