fid,TYP_CD,BEARG_NUM,TYP_CD_DES,BEARG_NUM_,Longitude,Latitude
1,,45,U-Turn [3008],,103.898799931769,1.37307892834704
2,,148.4519636,U-Turn [3008],,103.95800143453,1.34260891615221
3,,186.499126,U-Turn [3008],,103.957753347946,1.34479217802708
4,,131,"U-Turning Vehicles, Keep Right [3029]",,103.898412633204,1.37433755909202
5,,225,U-Turn [3008],,103.895144838863,1.36975757404779
6,,234.9,U-Turn [3008],,103.964264261127,1.35267002272405
7,,110,U-Turn [3008],,103.867455142124,1.36361739336774
8,,124.9920202,U-Turn [3008],,103.912100890635,1.39871086119476
9,,206.92587406,U-Turn [3008],,103.826203416619,1.42610575793315
10,,89,U-Turn [3008],,103.698797815045,1.32778698935431
11,,245,U-Turn [3008],,103.703186829997,1.34616312294048
12,,263,U-Turn [3008],,103.86135674199,1.3433975653036
13,,263,U-Turn KEEP RIGHT [3188],,103.861371169277,1.34339753438865
14,,64,U-Turn [3008],,103.701771269057,1.34544810577824
15,,345,U-Turn [3008],,103.719248426695,1.32518035007117
16,,300.38090202,U-Turn Ahead [2049],,103.816109604195,1.4421800083376
17,,121.11029739,U-Turn [3008],,103.767099353846,1.31243867258345
18,,60,U-Turn [3008],,103.909697148554,1.30533547331333
19,,243.85696191,U-Turn [3008],,103.824002882504,1.34093696497937
20,,145,U-Turn [3008],,103.906007950671,1.30131756621349
21,,188,U-Turn [3008],,103.873332613551,1.31603490321334
22,,60,U-Turn [3008],,103.872340404945,1.31444731079624
23,,227.725,U-Turn [3008],,103.888597856692,1.36341278123649
24,,238.13813291,U-Turn [3008],,103.712603320775,1.35213966531922
25,,335,U-Turn [3008],,103.872200561051,1.31938632771999
26,,37.32444844,U-Turn [3008],,103.710787400213,1.34849706536932
27,,71.9526468,U-Turn [3008],,103.936536797028,1.31996611407432
28,,229.71051962,U-Turn [3008],,103.827946270911,1.27225693401394
29,,299.56035446,U-Turn [3008],,103.901775480588,1.40556294797577
30,,105,"U-Turning Vehicles, Keep Right [3029]",,103.870138718811,1.37158839268064
31,,105,U-Turn [3008],,103.870138721497,1.3715877532952
32,,295.46334506,U-Turn [3008],,103.870949101222,1.34644059250971
33,,142.28233879,U-Turn [3008],,103.766039982934,1.31344033496679
34,,185,U-Turn [3008],,103.841826905287,1.32391156639985
35,,155.69403984,U-Turn [3008],,103.716807719172,1.33864644036834
36,,36.52885537,U-Turn [3008],,103.90862739788,1.40032953748111
37,,240,U-Turn [3008],,103.740945670934,1.33790904431483
38,,219.09589858,U-Turn [3008],,103.742351678534,1.35519674625154
39,,323.62548582,U-Turn [3008],,103.772529704054,1.38571077850438
40,,326,U-Turn [3008],,103.758132115723,1.34469006668268
41,,126.28007852,U-Turn [3008],,103.771363609929,1.38649569141501
42,,96,U-Turn [3008],,103.745818981018,1.30318304944097
43,,103,U-Turn [3008],,103.733605452191,1.31156909059527
44,,246,U-Turn [3008],,103.748150621005,1.30358777749787
45,,256.75948008,U-Turn [3008],,103.876876397478,1.39523965812364
46,,200,U-Turn [3008],,103.760095233139,1.33642315399536
47,,135,U-Turn [3008],,103.907049666396,1.31252044251756
48,,281,U-Turn [3008],,103.847046521132,1.33144489255793
49,,333,"U-Turning Vehicles, Keep Right [3029]",,103.764477659236,1.30464937949554
50,,14.03624347,"U-Turning Vehicles, Keep Right [3029]",,103.84714849969,1.34789968625289
51,,129.40063048,U-Turn [3008],,103.746375566899,1.34637685324083
52,,249,U-Turn [3008],,103.797908380837,1.44793095438951
53,,8,U-Turn [3008],,103.840258929128,1.30720500918098
54,,264,U-Turn [3008],,103.882573120118,1.31056200391521
